customer_unique_id,first_order_id,first_purchase_date,purchase_month,purchase_dow,customer_state,item_count,distinct_product_count,total_price,total_freight,primary_category,primary_payment_type,total_installments,delivery_days,is_late_delivery,review_score,repeat_within_180d
871766c5855e863f6eccc05f988b23cb,00010242fe8c5a6d1ba2dd792cb16214,2017-09-13 08:59:02,9.0,3.0,RJ,1,1,58.9,13.29,cool_stuff,credit_card,2.0,7.0,False,5.0,0
eb28e67c4c0b83846050ddfb8a35d051,00018f77f2f0320c557190d7a144bdd3,2017-04-26 10:53:06,4.0,3.0,SP,1,1,239.9,19.93,pet_shop,credit_card,3.0,16.0,False,4.0,1
3818d81c6709e39d06b2738a8d3a2474,000229ec398224ef6ca0657da4fc703e,2018-01-14 14:33:31,1.0,0.0,MG,1,1,199.0,17.87,furniture_decor,credit_card,5.0,7.0,False,5.0,0
64b576fb70d441e8f1b2d7d446e483c5,00042b26cf59d7ce69dfabb4e55b4fd9,2017-02-04 13:57:51,2.0,6.0,SP,1,1,199.9,18.14,garden_tools,credit_card,3.0,25.0,False,5.0,0
85c835d128beae5b4ce8602c491bf385,00048cc3ae777c65dbb7d2a0634bc1ea,2017-05-15 21:42:34,5.0,1.0,MG,1,1,21.9,12.69,housewares,boleto,1.0,6.0,False,4.0,0
635d9ac1680f03288e72ada3a1035803,00054e8431b9d7675808bcb819fb4a32,2017-12-10 11:53:48,12.0,0.0,SP,1,1,19.9,11.85,telephony,credit_card,1.0,8.0,False,4.0,0
9e4159995424971423b98c4a8bc11529,0008288aa423d2a3f00fcb17cd7d8719,2018-02-13 22:10:21,2.0,2.0,SP,2,1,99.8,26.74,garden_tools,boleto,1.0,12.0,False,5.0,0
f5f088001070650f9e9a8cd773621f35,000c3e6612759851cc3cbb4b83257986,2017-08-12 10:08:57,8.0,6.0,SP,1,1,99.0,13.71,sports_leisure,boleto,1.0,7.0,False,5.0,0
b2c72d1e9f6430603b8337d8f1394a99,000e562887b1f2006d75e0be9558292e,2018-02-22 11:54:42,2.0,4.0,SP,1,1,25.0,16.11,cool_stuff,credit_card,4.0,18.0,False,3.0,0
3588484a539617d91500764822230fb6,000e906b789b55f64edcb1f84030f90d,2017-11-21 18:54:23,11.0,2.0,SP,1,1,21.99,11.85,telephony,credit_card,3.0,17.0,True,3.0,0
2193383c470dc9cec894ce78afd0ebd6,001021efaa8636c29475e7734483457d,2018-02-27 09:27:14,2.0,2.0,PR,1,1,49.0,15.1,fashion_bags_accessories,credit_card,3.0,9.0,False,4.0,0
e883f26917e2095c439f70c2cf8c914b,0010b2e5201cc5f1ae7e9c6cc8f5bd00,2017-09-11 17:39:33,9.0,1.0,RJ,1,1,48.9,16.6,cool_stuff,credit_card,3.0,11.0,False,5.0,0
13df7b623839b4edc579ee40279d57c8,00119ff934e539cf26f92b9ef0cdfed8,2017-08-06 00:42:49,8.0,0.0,RJ,1,1,219.9,16.98,sports_leisure,credit_card,6.0,10.0,False,5.0,0
02daaa0e021d624d1784c4ea5cc84ace,0011d82c4b53e22e84023405fb467e57,2018-01-16 21:43:23,1.0,2.0,SP,1,1,289.0,26.33,luggage_accessories,credit_card,2.0,10.0,False,4.0,0
7ac26eac431c6848694a2de6f0327524,00125cb692d04887809806618a2a145f,2017-03-23 12:21:17,3.0,4.0,GO,1,1,109.9,25.51,furniture_decor,credit_card,1.0,15.0,False,5.0,0
1544f85dff3797491b60f2a5241d14c1,0013503b13da1eac686219390b7d641b,2017-12-05 23:40:59,12.0,2.0,SP,1,1,119.9,17.32,furniture_decor,boleto,1.0,14.0,False,5.0,0
38c3bc2d6df03905e3e8d3d5b079acf4,00137e170939bba5a3134e2386413108,2017-11-24 16:50:38,11.0,5.0,RJ,1,1,397.0,24.65,agro_industry_and_commerce,boleto,1.0,17.0,False,4.0,0
bb8a37225e0279ac8a274c9765617eaf,00143d0f86d6fbd9f9b38ab440ac16f5,2017-10-16 15:29:43,10.0,1.0,GO,3,1,63.99,45.3,sports_leisure,credit_card,1.0,11.0,False,,0
8e5a8d9363eb6296154b65750c8702ca,0014ae671de39511f7575066200733b7,2017-05-22 13:49:03,5.0,1.0,PR,1,1,16.5,14.1,telephony,boleto,1.0,16.0,False,5.0,0
2e0daa38f7fd081ddcda32d972e5ec50,0015ebb40fb17286bea51d4607c4733c,2018-01-14 09:01:36,1.0,0.0,PR,1,1,21.9,15.1,electronics,credit_card,1.0,18.0,False,5.0,0
577edb526f98771b20d6db4a51d79423,00169e31ef4b29deaae414f9a5e95929,2018-01-16 09:26:39,1.0,2.0,RJ,1,1,39.0,16.11,bed_bath_table,boleto,1.0,7.0,False,1.0,0
33febb33a42a35f5826a22584b127f9d,0016dfedd97fc2950e388d2971d718c7,2017-04-28 19:54:40,4.0,5.0,BA,1,1,49.75,20.8,garden_tools,credit_card,6.0,23.0,False,5.0,0
98758d88bf4b8eef1372ddee45d63178,0017afd5076e074a48f1f1a4c7bac9c5,2017-04-06 22:16:10,4.0,4.0,AL,1,1,809.1,44.29,computers_accessories,credit_card,10.0,46.0,True,1.0,1
eb2568a7ba9b2ca9bf1f818a8dea82ce,001862358bf858722e1e2ae000cfed8b,2018-02-06 19:11:57,2.0,2.0,SP,1,1,99.99,13.72,cool_stuff,credit_card,2.0,9.0,False,5.0,0
d1f24d1d504e27bee13b415e40daeab0,001ab0a7578dd66cd4b0a71f5b6e1e41,2017-12-27 00:38:47,12.0,3.0,BA,3,1,74.67,52.89,electronics,boleto,1.0,21.0,False,4.0,0
55a269f324455e78349e7b9b7e7e5911,001c85b5f68d2be0cb0797afc9e8ce9a,2017-11-24 19:19:18,11.0,5.0,SP,1,1,99.0,13.71,bed_bath_table,credit_card,4.0,27.0,True,2.0,0
870a0bdc769f9a7870309036740e79ea,001d8f0e34a38c37f7dba2a37d4eba8b,2017-05-14 17:19:44,5.0,0.0,SP,2,1,37.98,15.56,health_beauty,credit_card,2.0,11.0,True,1.0,0
dc5aa19797b8fb7a4929ad109fb25553,001daeb0eddc45b999bad0801ad9d273,2017-05-17 23:19:34,5.0,3.0,BA,1,1,38.33,16.79,pet_shop,boleto,1.0,21.0,False,5.0,0
c6f624cf0e9908fe310d59a80350bea0,001dbc16dc51075e987543d23a0507c7,2017-01-28 13:17:57,1.0,6.0,MG,1,1,69.9,18.0,bed_bath_table,credit_card,1.0,15.0,False,5.0,0
100bf2da12cc1fd1b556507aa87bf3a1,001e7ba991be1b19605ca0316e7130f9,2017-03-18 11:47:37,3.0,6.0,MS,1,1,195.0,18.21,computers_accessories,credit_card,10.0,10.0,False,5.0,0
484689f7961df6e755f6373221aff64d,0020262c8a370bd5a174ea6a2a267321,2017-11-28 09:32:49,11.0,2.0,PR,1,1,79.5,21.05,furniture_decor,credit_card,2.0,4.0,False,4.0,0
87ae4c644c15d9c6b6f826dfec33b340,0020a222f55eb79a372d0efee3cca688,2017-08-15 02:45:18,8.0,2.0,RJ,1,1,29.99,15.1,furniture_decor,credit_card,4.0,9.0,False,5.0,1
8a04e75a04c11b76156ef03b8ea45a18,00259a44fcad3fc0474329e925d14fc3,2017-12-27 17:52:11,12.0,3.0,MG,1,1,19.99,14.1,computers_accessories,credit_card,1.0,7.0,False,4.0,0
c01bed915357c68393943dd8b7a51655,002611a77fe03d076285fd4ca95db77c,2018-02-27 17:46:23,2.0,2.0,DF,1,1,135.0,21.75,computers_accessories,boleto,1.0,23.0,False,4.0,0
